epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,392.993,1.26511,0.55764,0.92487,0.9835,0.98333,0.99048,0.60229,1.28786,0.58738,0.89504,0.0006338,0.0006338,0.0006338
71,398.592,1.30511,0.57253,0.89847,0.98067,0.9802,0.99057,0.5895,1.32292,0.6023,0.90525,0.000614,0.000614,0.000614
72,404.169,1.24512,0.54286,0.90696,0.97847,0.9901,0.99053,0.60147,1.30185,0.57157,0.89572,0.0005942,0.0005942,0.0005942
73,409.79,1.324,0.55612,0.92247,0.97622,0.9901,0.99025,0.58209,1.36143,0.56273,0.9013,0.0005744,0.0005744,0.0005744
74,415.396,1.24386,0.54218,0.89673,0.97374,0.9868,0.98928,0.57834,1.3551,0.57075,0.90186,0.0005546,0.0005546,0.0005546
75,421.011,1.29423,0.56026,0.8872,0.96491,0.9901,0.98937,0.6137,1.24542,0.55147,0.88156,0.0005348,0.0005348,0.0005348
76,426.532,1.27084,0.5408,0.90982,0.9678,0.99187,0.98907,0.61248,1.24101,0.53878,0.88056,0.000515,0.000515,0.000515
77,432.192,1.28549,0.5404,0.92657,0.9709,0.99108,0.98911,0.6037,1.28925,0.53683,0.8893,0.0004952,0.0004952,0.0004952
78,437.887,1.24816,0.5262,0.89473,0.97401,0.98954,0.9876,0.61311,1.26799,0.53156,0.88647,0.0004754,0.0004754,0.0004754
79,443.552,1.23748,0.52944,0.88694,0.97709,0.98528,0.98895,0.63053,1.22124,0.52883,0.8775,0.0004556,0.0004556,0.0004556
80,449.144,1.27499,0.54411,0.91248,0.98197,0.9802,0.98932,0.64279,1.21227,0.52924,0.87542,0.0004358,0.0004358,0.0004358
81,454.855,1.21747,0.52972,0.87994,0.97092,0.99174,0.98903,0.63523,1.23726,0.53138,0.88142,0.000416,0.000416,0.000416
82,460.474,1.24505,0.53286,0.88933,0.97093,0.99191,0.98902,0.63558,1.24518,0.53012,0.88225,0.0003962,0.0003962,0.0003962
83,466.098,1.233,0.5322,0.87374,0.97399,0.98867,0.9915,0.64297,1.22802,0.52213,0.87934,0.0003764,0.0003764,0.0003764
84,471.851,1.2401,0.52372,0.89142,0.97711,0.98618,0.99279,0.6419,1.2335,0.53225,0.88237,0.0003566,0.0003566,0.0003566
85,477.459,1.23532,0.53312,0.88814,0.97386,0.98372,0.99258,0.63323,1.25188,0.53891,0.88605,0.0003368,0.0003368,0.0003368
86,483.063,1.18175,0.5056,0.88056,0.97595,0.9868,0.99128,0.64048,1.23655,0.5199,0.87986,0.000317,0.000317,0.000317
87,488.669,1.19862,0.51675,0.86845,0.97706,0.98402,0.99105,0.63883,1.25133,0.51445,0.88082,0.0002972,0.0002972,0.0002972
88,494.209,1.17693,0.4931,0.88352,0.98016,0.9868,0.99188,0.62218,1.28806,0.53016,0.89087,0.0002774,0.0002774,0.0002774
89,499.731,1.17696,0.51098,0.88592,0.97718,0.98946,0.99179,0.62135,1.29026,0.53648,0.89379,0.0002576,0.0002576,0.0002576
90,505.312,1.22891,0.51685,0.87579,0.9772,0.99,0.99162,0.62452,1.2879,0.53637,0.89318,0.0002378,0.0002378,0.0002378
91,518.968,1.1831,0.50265,0.90008,0.97725,0.9923,0.9902,0.62447,1.26755,0.52585,0.88438,0.000218,0.000218,0.000218
92,524.514,1.19651,0.51417,0.88159,0.97409,0.99248,0.98943,0.61388,1.28756,0.5251,0.88818,0.0001982,0.0001982,0.0001982
93,530.087,1.20567,0.50843,0.89764,0.97093,0.99203,0.98903,0.60938,1.30017,0.52951,0.89135,0.0001784,0.0001784,0.0001784
94,535.722,1.19191,0.49407,0.8937,0.96726,0.9868,0.98844,0.61297,1.29691,0.5263,0.89294,0.0001586,0.0001586,0.0001586
95,541.364,1.19174,0.50173,0.90642,0.97115,0.9901,0.98873,0.62219,1.27913,0.5185,0.8892,0.0001388,0.0001388,0.0001388
96,546.991,1.18102,0.4955,0.89012,0.97223,0.9901,0.98982,0.62916,1.2528,0.51051,0.88288,0.000119,0.000119,0.000119
97,552.536,1.18693,0.48853,0.91302,0.97398,0.98811,0.98983,0.62794,1.25119,0.51156,0.88266,9.92e-05,9.92e-05,9.92e-05
98,558.064,1.1542,0.49087,0.88217,0.97406,0.99158,0.98987,0.62928,1.25795,0.51209,0.88469,7.94e-05,7.94e-05,7.94e-05
99,563.624,1.17075,0.49767,0.87804,0.97403,0.9904,0.99044,0.6303,1.2656,0.51367,0.88655,5.96e-05,5.96e-05,5.96e-05
100,569.132,1.1911,0.49095,0.89323,0.97073,0.98511,0.98881,0.6284,1.26606,0.51488,0.88659,3.98e-05,3.98e-05,3.98e-05
